a01	div	dcode	uzcode	uncode	vcode_n	div_name	district	district_name	upazila	upazila_name	union	union_name	hh_type	a02	a10	a11	a12	a13	a14	a15	a16_dd	a16_mm	a16_yy	a17_dd	a17_mm	a17_yy	a18	a19	a20_dd	a20_mm	a20_yy	a21	flagaddl	sample_type	regnm	flag_org	aez_name	flag_smpl
1925	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	48	2	1	98	2	1	1	10	1	2012	11	1	2012	29	2						3	"Level Barind Tract"		"Barind Tract"	
1926	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	60	2	1	98	1	1	1	10	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1927	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	72	2	1	98	1	1	1	11	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1928	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	84	2	1	98	1	1	1	11	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1929	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	96	2	1	98	1	1	1	11	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1930	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	107	2	1	98	1	1	1	13	1	2012	14	1	2012	29	2						3	"Level Barind Tract"		"Barind Tract"	
1931	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	119	2	1	98	1	1	1	14	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1932	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	131	1	1	99	1	1	1	12	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1933	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	143	2	1	98	1	1	1	13	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1934	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	155	2	1	98	1	1	1	12	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1935	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	166	2	1	98	1	1	1	13	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1936	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	178	2	1	98	1	1	1	13	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1937	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	190	2	1	99	1	1	1	12	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1938	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	202	2	1	98	1	1	1	12	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1939	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	214	2	1	99	1	1	1	13	1	2012	14	1	2012	32	2						3	"Level Barind Tract"		"Barind Tract"	
1940	"50"	38	3813	381315	233.0	"Rajshahi"	"38"	"Joypurhat"	"3813"	"Akkelpur"	"381315"	"Gopinathpur"	2	225	2	1	98	1	1	1	12	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1941	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	7	2	1	98	1	1	1	17	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1942	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	20	2	1	98	1	1	1	17	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1943	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	33	2	1	98	1	1	1	17	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1944	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	46	1	1	98	1	1	1	17	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1945	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	59	2	1	99	2	1	1	20	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1946	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	72	4	1	3	2	1	1	17	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1947	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	85	2	1	98	1	1	1	19	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1948	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	98	2	1	98	1	1	1	18	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1949	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	111	1	1	98	1	1	1	17	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1950	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	124	2	1	99	1	1	1	18	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1951	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	137	2	1	99	1	1	1	18	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1952	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	150	2	1	98	1	1	1	18	1	2012	19	1	2012	32	2						3	"Level Barind Tract"		"Barind Tract"	
1953	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	163	2	1	99	1	1	1	20	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1954	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	176	2	1	98	1	1	1	19	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1955	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	189	2	1	99	1	1	1	19	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1956	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	202	2	1	98	1	1	1	20	1	2012				32	2						3	"Level Barind Tract"		"Barind Tract"	
1957	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	215	2	1	99	1	1	1	18	1	2012				29	2						3	"Level Barind Tract"		"Barind Tract"	
1958	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	228	2	1	98	1	1	1	20	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1959	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	241	2	1	99	1	1	1	19	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1960	"50"	38	3861	386109	234.0	"Rajshahi"	"38"	"Joypurhat"	"3861"	"Khetlal"	"386109"	"Alampur"	2	254	2	1	98	1	1	1	19	1	2012				28	2						3	"Level Barind Tract"		"Barind Tract"	
1961	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	7	1	1	98	1	1	1	29	1	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1962	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	16	2	1	99	1	1	1	30	1	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1963	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	26	2	1	98	1	1	1	29	1	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1964	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	36	2	1	98	1	1	1	27	1	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1965	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	45	2	1	99	1	1	1	26	1	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1966	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	55	2	1	99	1	1	1	28	1	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1967	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	64	2	1	99	1	1	1	26	1	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1968	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	74	1	1	98	1	1	1	27	1	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1969	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	84	2	1	98	1	1	1	28	1	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1970	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	93	2	1	98	1	1	1	27	1	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1971	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	103	2	1	98	1	1	1	29	1	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1972	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	112	2	1	99	1	1	1	30	1	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1973	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	122	2	1	99	1	1	1	27	1	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1974	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	132	1	1	98	1	1	1	29	1	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1975	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	141	2	1	98	1	1	1	29	1	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1976	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	151	1	1	98	1	1	1	27	1	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1977	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	160	2	1	98	1	1	1	26	1	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1978	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	170	2	1	99	1	1	1	28	1	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1979	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	180	2	1	99	1	1	1	26	1	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1980	"30"	39	3907	390783	102.0	"Dhaka"	"39"	"Jamalpur"	"3907"	"Bakshiganj"	"390783"	"Sadhur Para"	2	189	2	1	98	1	1	1	28	1	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
1981	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	11	1	1	99	1	1	1	19	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1982	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	24	2	1	98	1	1	1	18	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1983	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	36	2	1	99	1	1	1	18	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1984	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	48	2	1	99	1	1	1	20	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1985	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	61	2	1	98	1	1	1	17	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1986	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	73	1	1	98	1	1	1	17	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1987	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	85	2	1	99	1	1	1	19	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1988	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	98	1	1	98	1	1	1	18	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1989	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	110	2	1	98	1	1	1	20	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1990	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	123	1	1	99	1	1	1	19	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1991	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	135	1	1	99	1	1	1	19	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1992	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	147	2	1	98	1	1	1	17	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1993	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	160	2	1	98	1	1	1	17	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1994	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	172	2	1	99	1	1	1	18	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1995	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	184	2	1	99	1	1	1	19	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1996	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	197	1	1	98	1	1	1	20	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1997	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	209	2	1	99	1	1	1	17	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1998	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	221	2	1	98	1	1	1	17	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
1999	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	234	1	1	99	1	1	1	18	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2000	"30"	39	3929	392939	103.0	"Dhaka"	"39"	"Jamalpur"	"3929"	"Islampur"	"392939"	"Gaibandha"	2	246	2	1	99	1	1	1	19	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2001	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	1	1	1	98	1	1	1	14	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2002	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	13	2	1	98	1	1	1	15	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2003	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	25	2	1	98	1	1	1	16	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2004	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	36	2	1	98	1	1	1	13	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2005	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	48	2	1	98	1	1	1	13	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2006	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	60	2	1	99	1	1	1	14	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2007	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	72	2	1	98	1	1	1	15	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2008	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	83	1	1	99	1	1	1	15	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2009	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	95	1	1	98	1	1	1	16	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2010	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	107	2	1	98	1	1	1	16	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2011	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	119	2	1	98	1	1	1	14	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2012	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	130	2	1	98	1	1	1	13	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2013	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	142	2	1	99	1	1	1	13	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2014	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	154	1	1	99	1	1	1	14	2	2012				118	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2015	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	166	2	1	99	1	1	1	15	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2016	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	177	1	1	98	1	1	1	16	2	2012				119	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2017	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	189	2	1	98	1	1	1	16	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2018	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	201	2	1	98	1	1	1	14	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2019	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	213	2	1	98	1	1	1	13	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2020	"30"	39	3936	393635	104.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393635"	"Kendua"	2	223	1	1	98	1	1	1	13	2	2012				122	17						3	"Young Brahmaputra and Jamuna"		"Floodplain"	
2021	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	12	1	1	98	1	1	1	1	2	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2022	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	25	2	1	98	1	1	1	3	2	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2023	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	39	2	1	98	1	1	1	3	2	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2024	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	53	2	1	98	1	1	1	1	2	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2025	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	67	2	1	98	1	1	1	3	2	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2026	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	81	2	1	98	1	1	1	2	2	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2027	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	95	2	1	98	1	1	1	2	2	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2028	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	109	2	1	98	1	1	1	3	2	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2029	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	122	2	1	98	1	1	1	4	2	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2030	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	136	2	1	98	1	1	1	4	2	2012				118	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2031	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	150	2	1	4	1	1	1	4	2	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2032	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	164	2	1	98	1	1	1	1	2	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2033	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	178	2	1	98	1	1	1	2	2	2012				122	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2034	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	192	2	1	99	1	1	1	4	2	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2035	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	205	2	1	98	1	1	1	4	2	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
2036	"30"	39	3936	393689	105.0	"Dhaka"	"39"	"Jamalpur"	"3936"	"Jamalpur Sadar"	"393689"	"Titpalla"	2	219	2	1	99	1	1	1	1	2	2012				119	17						3	"Old Brahmaputra Floodplain"		"Floodplain"	
